gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/g165264,25,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g165264,25,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g165264,25,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g160323,26,{{../../rtl/skivav/s_axi_controller.sv 100 30}},s_axi_controller.sv,T-DMA,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g160323,26,{{../../rtl/skivav/s_axi_controller.sv 100 30}},s_axi_controller.sv,T-DMA,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g160323,26,{{../../rtl/skivav/s_axi_controller.sv 100 30}},s_axi_controller.sv,T-DMA,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g160021,27,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_2,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g160021,27,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_2,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g160021,27,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_2,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g157076,28,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g157076,28,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g157076,28,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g157075,29,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g157075,29,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g157075,29,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g156679,30,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g156679,30,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g156679,30,{{../../rtl/skivav/ALU.v 69 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g155025,31,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g155025,31,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g155025,31,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g154540,32,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g154540,32,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g154540,32,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g154102,33,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g154102,33,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g154102,33,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g154099,34,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g154099,34,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g154099,34,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g154044,35,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g154044,35,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g154044,35,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153853,36,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153853,36,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g153853,36,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2bb2ai_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153825,37,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a22oi_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153825,37,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a22oi_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g153825,37,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a22oi_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153755,38,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o32ai_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153755,38,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o32ai_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
